Company,KBLI,Kelas 1,Kelas 2,Kelas 3,Kelas 4
MUARA JUARA KREASI INDONESIA,10761,INDUSTRI PENGOLAHAN,INDUSTRI MAKANAN,INDUSTRI MAKANAN LAINNYA,INDUSTRI PENGOLAHAN KOPI
MUARA LOGAM INDONESIA,Not Found,,,,
MUDA JAYA ABADI,Not Found,,,,
MUFID INTI GLOBAL,Not Found,,,,
MUHTOMAS,Not Found,,,,
MULIA JAYA BERSINAR,Not Found,,,,
MULTI AKSARA SEJATI,Not Found,,,,
MULTI GARMENJAYA,14111,INDUSTRI PENGOLAHAN,INDUSTRI PAKAIAN JADI,INDUSTRI PAKAIAN JADI DAN PERLENGKAPANNYA,INDUSTRI PAKAIAN JADI (BUKAN PENJAHITAN DAN PEMBUATAN PAKAIAN)
MULTI GRASINDO CEMERLANG,20231,INDUSTRI PENGOLAHAN,INDUSTRI BAHAN KIMIA DAN BARANG DARI BAHAN KIMIA,INDUSTRI BARANG KIMIA LAINNYA,INDUSTRI SABUN DAN DETERJEN
MULTI HANNA KREASINDO,24320,INDUSTRI PENGOLAHAN,INDUSTRI LOGAM DASAR,INDUSTRI PENGECORAN LOGAM,INDUSTRI PENGECORAN LOGAM BUKAN BESI DAN BAJA
MULTI INTI PARAHIYANGAN,Not Found,,,,
MULTI MITRA LOGISTIK,Not Found,,,,
MULTI SANDANG TAMAJAYA,13121,INDUSTRI PENGOLAHAN,INDUSTRI TEKSTIL,INDUSTRI PEMINTALAN,INDUSTRI PERTENUNAN TEKSTIL
MULTI SOLUSI SUKSESTAMA,Not Found,,,,
MULTINDO TECHNOLOGY UTAMA,25920,INDUSTRI PENGOLAHAN,INDUSTRI BARANG LOGAM,INDUSTRI BARANG LOGAM LAINNYA DAN JASA PEMBUATAN BARANG LOGAM,JASA INDUSTRI UNTUK BERBAGAI PENGERJAAN KHUSUS LOGAM DAN BARANG DARI LOGAM
MULTINDO VELVET INDUSTRIES,13121,INDUSTRI PENGOLAHAN,INDUSTRI TEKSTIL,INDUSTRI PEMINTALAN,INDUSTRI PERTENUNAN TEKSTIL
MURATA MACHINERY INDONESIA,,,,,
MURNI MOTOR,45407,PERDAGANGAN BESAR DAN ECERAN; REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR,PERDAGANGAN,PERDAGANGAN,PERDAGANGAN
MURNI SADAR,Not Found,,,,
MURNI SUBAJA MAS,Not Found,,,,
MUSTIKA CITRA RASA,10710,INDUSTRI PENGOLAHAN,INDUSTRI MAKANAN,INDUSTRI MAKANAN LAINNYA,INDUSTRI PRODUK ROTI DAN KUE
MUSTIKA KUSUMA JAYA,Not Found,,,,
MUSTIKA PARAHYANGAN,Not Found,,,,
MUTIARA MAJU MANDIRI,Not Found,,,,
MUTIARA PERKASA BAHAGIA,Not Found,,,,
NADYA ANGEL SAM,Not Found,,,,
NALSAL INDO PERKASA,Not Found,,,,
NANDANG AKSARA PRIMA,,,,,
NEO CIA REVOLUSI,Not Found,,,,
NETWORK LINTAS FIBERINDO,Not Found,,,,
NETZER MEDIKA PUTRA,Not Found,,,,
NEW MODULE INTERNATIONAL,Not Found,,,,
NIKITA MITRA JAYA,Not Found,,,,
NIRAMAS UTAMA,10298,INDUSTRI PENGOLAHAN,INDUSTRI MAKANAN,INDUSTRI PENGOLAHAN DAN PENGAWETAN IKAN DAN BIOTA AIR,INDUSTRI PENGOLAHAN DAN PENGAWETAN BIOTA AIR LAINNYA
NISSIN MANUFACTURING INDONESIA,30912,INDUSTRI PENGOLAHAN,INDUSTRI ALAT ANGKUTAN LAINNYA,INDUSTRI ALAT ANGKUTAN LAINNYA YTDL,INDUSTRI SEPEDA MOTOR
NITRO PRATAMA INDONESIA,Not Found,,,,
NUSANTARA SATRIA AGUNG,Not Found,,,,
NUSANTARA SURYA SAKTI,45407,PERDAGANGAN BESAR DAN ECERAN; REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR,PERDAGANGAN,PERDAGANGAN,PERDAGANGAN
NUSANTARA TECHNIC INDONESIA,Not Found,,,,
NUSATAMA BERKAH TBK,Not Found,,,,
NUTRINDO PERTAMA,Not Found,,,,
OAE MANUFAKTUR INDONESIA,,,,,
OCEANICA MEGAH UTAMA,10213,INDUSTRI PENGOLAHAN,INDUSTRI MAKANAN,INDUSTRI PENGOLAHAN DAN PENGAWETAN IKAN DAN BIOTA AIR,INDUSTRI PENGOLAHAN DAN PENGAWETAN IKAN DAN PRODUK IKAN
OHM ELECTRONICS INDONESIA,26410,INDUSTRI PENGOLAHAN,INDUSTRI KOMPUTER,INDUSTRI PERALATAN AUDIO DAN VIDEO ELEKTRONIK,INDUSTRI TELEVISI DAN/ATAU PERAKITAN TELEVISI
OMEGA ELEKTRIK INDONESIA,Not Found,,,,
ONESMILE ALIGNERS INDONESIA,Not Found,,,,
OS PUTRA,11051,INDUSTRI PENGOLAHAN,INDUSTRI MINUMAN,INDUSTRI MINUMAN,INDUSTRI AIR KEMASAN DAN AIR MINUM ISI ULANG
PACIFIC AREA JAYA,Not Found,,,,
PACIFIC MOTOR,Not Found,,,,
PADANG GOLF BUKIT SENTUL,Not Found,,,,
PADI ARTHA SEJAHTERA,Not Found,,,,
PADJADJARAN INDAH PRIMA,Not Found,,,,
PADMA SARI PANGAN,Not Found,,,,
PALABUHAN RATU DISTRIBUSINDO RAYA,Not Found,,,,
PAMOR BUANA UTAMA,Not Found,,,,
PANAYA RENTAL CRANE,Not Found,,,,
PANDAWA MAKMUR SEJAHTERA,Not Found,,,,
PANDITA KAPITAL UTAMA,Not Found,,,,
PANDU EQUATOR PRIMA,Not Found,,,,
PANFILA INDOSARI,11051,INDUSTRI PENGOLAHAN,INDUSTRI MINUMAN,INDUSTRI MINUMAN,INDUSTRI AIR KEMASAN DAN AIR MINUM ISI ULANG
PANGAN SARANA NIAGA,Not Found,,,,
PANGESTU DAYA UTAMA,Not Found,,,,
PARAMITA BANINDO,Not Found,,,,
PARSAORAN GLOBAL DATATRANS,Not Found,,,,
PATRA MAKMUR SEJAHTERA,Not Found,,,,
PATRA NIAGA RAYA,Not Found,,,,
PAYON AURA SEJAHTERA,Not Found,,,,
PELANGI NIAGA NUSANTARA,Not Found,,,,
PELITA ABADI SEJAHTERA,Not Found,,,,
PELITA SAMUDERA INDONESIA,Not Found,,,,
PERKASA ABADI MAKMUR,Not Found,,,,
PERMATA SINAR UTAMA,Not Found,,,,
PERTAMINA BINA MEDIKA IHC,Not Found,,,,
PERTAMINA TRAINING & CONSULTING,Not Found,,,,
PERTAMINA TRAINING AND CONSULTING,Not Found,,,,
PESONA NATASYA GEMILANG,Not Found,,,,
PESONA TAMANINDO,Not Found,,,,
PIJAR UTAMA GASINDO,Not Found,,,,
PILAR ABDI WIJAYA,Not Found,,,,
PILAR BAKTI SEJAHTERA,Not Found,,,,
PINDAD (PERSERO),Not Found,,,,
PINTU SUKSES LESTARI,Not Found,,,,
PINTU TIGA RAHARJA,Not Found,,,,
PLANET EXCELENCIA PHARMACY,Not Found,,,,
POLIWEK INDO UTAMA,Not Found,,,,
PPLONDON SUMATERA INDONESIA TBK,Not Found,,,,
PRANATA JAYA ABADI,13132,INDUSTRI PENGOLAHAN,INDUSTRI TEKSTIL,INDUSTRI PEMINTALAN,INDUSTRI PENYEMPURNAAN TEKSTIL
PRATAMA SELARAS MANDIRI,Not Found,,,,
PRATAMA SURYA JAYA,Not Found,,,,
PRATIWI PUTRI SULUNG,71205,AKTIVITAS PROFESIONAL,AKTIVITAS ARSITEKTUR DAN KEINSINYURAN; ANALISIS DAN UJI TEKNIS,ANALISIS DAN UJI TEKNIS,ANALISIS DAN UJI TEKNIS
PRESENTOLOGICS,Not Found,,,,
PRESTASI CAHAYA METALINDO,Not Found,,,,
PRIMA ADJUSTERINDO MANDIRI,Not Found,,,,
PRIMA KOMPETENSI,Not Found,,,,
PRIMA MEDIKA SELARAS,Not Found,,,,
PRIMA NUSANTARA TELEKOMUNIKASI,Not Found,,,,
PRIMA SARANA PENJAMINAN,Not Found,,,,
PRIMA SENTRAL REJEKI,Not Found,,,,
PRIMA ZEN,31004,INDUSTRI PENGOLAHAN,INDUSTRI FURNITUR,INDUSTRI FURNITUR,INDUSTRI FURNITUR
PRIMAPER TRADEA UTAMA,Not Found,,,,
PRIORITAS JAYA ABADI,Not Found,,,,
PRISEL GIUGA SINERGI,Not Found,,,,
PRO MECHANIC INDONESIA,28221,INDUSTRI PENGOLAHAN,INDUSTRI MESIN DAN PERLENGKAPAN YTDL,INDUSTRI MESIN UNTUK KEPERLUAN KHUSUS,INDUSTRI MESIN DAN PERKAKAS MESIN UNTUK PENGERJAAN LOGAM
PRODIA WIDYAHUSADA,,,,,
PROLABIOS MITRA ANALITIKA,Not Found,,,,
PROSPER MEGA INDUSTRI,Not Found,,,,
PURI AVIA,Not Found,,,,
PURI LAJU ABBA,Not Found,,,,
PURI WIDYA UTAMA,Not Found,,,,
PUSTEK ENERGI DAN TEKNOLOGI,Not Found,,,,
PUTRA DUA PERKASA,Not Found,,,,
PUTRA MERAPI SUKSES,Not Found,,,,
PUTRA MUTIARA JAYA,Not Found,,,,
PVRA MODA KREASI,Not Found,,,,
QUADRA INTI SOLUSI,Not Found,,,,
QUANTUM INDOKEMIKA SOLUSI,Not Found,,,,
QUANTUMPLAST INDUSTRY,22220,INDUSTRI PENGOLAHAN,INDUSTRI KARET,INDUSTRI BARANG DARI PLASTIK,INDUSTRI BARANG DARI PLASTIK UNTUK PENGEMASAN
RABU BUDIMAN ABADI,Not Found,,,,
RACHMAT PERDANA ADHIMETAL,30912,INDUSTRI PENGOLAHAN,INDUSTRI ALAT ANGKUTAN LAINNYA,INDUSTRI ALAT ANGKUTAN LAINNYA YTDL,INDUSTRI SEPEDA MOTOR
RADIANT UTAMA INTERINSCO TBK,,,,,
RADYA MARGA SENTOSA,Not Found,,,,
RAFIQA RASYA RIZKY,Not Found,,,,
RAGAM TANGGUH FORTINDO,22210,INDUSTRI PENGOLAHAN,INDUSTRI KARET,INDUSTRI BARANG DARI PLASTIK,INDUSTRI BARANG DARI PLASTIK UNTUK BANGUNAN
RAJA MAKMUR PERKASA,Not Found,,,,
RAMA MANUNGGAL PERKASA,Not Found,,,,
RAMA TEXTIMA INDONESIA,Not Found,,,,
RAMATEX,,,,,
RANGKUTI EKA PAKSI,Not Found,,,,
RAPIK KARYA MANDIRI,Not Found,,,,
RATANSHA PURNAMA ABADI,,,,,
REAL MITRAS BUANA,Not Found,,,,
REGAMAS NUSANTARA INDONESIA,Not Found,,,,
REI INDUSTRI PROPERTI,Not Found,,,,
REJEKI ASTHA SENTOSA,Not Found,,,,
REJEKI GRAHA WIJAYA,Not Found,,,,
REMALA ABADI,Not Found,,,,
RESTAR SENTRA DIGDAYA,Not Found,,,,
REVASS UTAMA MEDIKA,Not Found,,,,
RICKY PERSADA FARMA,Not Found,,,,
RICO BERLIAN LOGISTINDO,Not Found,,,,
RIKEN ENGINEERING PERKASA,Not Found,,,,
RIMA SURYA PRATAMA,Not Found,,,,
RISMA SENTOSA,45201,PERDAGANGAN BESAR DAN ECERAN; REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR,PERDAGANGAN,REPARASI DAN PERAWATAN MOBIL,REPARASI DAN PERAWATAN MOBIL
RIUNG AGRO LESTARI,Not Found,,,,
RIYANA CIA PANGAN INDONESIA,Not Found,,,,
RIZKY ABADI JAYA ANUGRAH,Not Found,,,,
RIZKY INDRA TRANSINDO,Not Found,,,,
RODA KAWAN SEJAHTERA,Not Found,,,,
ROHA LAUTAN PEWARNA,20116,INDUSTRI PENGOLAHAN,INDUSTRI BAHAN KIMIA DAN BARANG DARI BAHAN KIMIA,INDUSTRI BAHAN KIMIA,INDUSTRI KIMIA DASAR
ROUDO KITA,Not Found,,,,
SAFE SINAR GLOBAL,Not Found,,,,
SAHABAT SENTRA ALKESINDO,Not Found,,,,
SAINDO MAJU INTERNASIONAL,Not Found,,,,
SAJIRA MAHARDIKA,Not Found,,,,
SAK LAWASE SELALU SUKSES,Not Found,,,,
SAKA ARTHA KENCANA,Not Found,,,,
SAM APPAREL MANUFACTURING INDONESIA,Not Found,,,,
SAMUDERA PASAI LOGISTIK,Not Found,,,,
SANDANG MAJALAYA TEXTILE / SAMATEX,Not Found,,,,
SANDANG MAJALAYA TEXTILE (SAMATEX),Not Found,,,,
SANTOSA KURNIA JAYA,14111,INDUSTRI PENGOLAHAN,INDUSTRI PAKAIAN JADI,INDUSTRI PAKAIAN JADI DAN PERLENGKAPANNYA,INDUSTRI PAKAIAN JADI (BUKAN PENJAHITAN DAN PEMBUATAN PAKAIAN)
SARANA ABADI JAYA RAYA,Not Found,,,,
SARANA KARUNIA SEJATI,Not Found,,,,
SARANA KATIGA NUSANTARA,Not Found,,,,
SARANA MEDIKA MEDIATECH,Not Found,,,,
SARANA MEDIKAL PRISMA,Not Found,,,,
SARANA SADAYA,Not Found,,,,
SARANA SUKSES INDONESIA,Not Found,,,,
SARANA SUKSES INDOPRIMA,Not Found,,,,
SATRIA GRIYA ABADI,Not Found,,,,
SATYA SARANA KARGO,Not Found,,,,
SAVA JAYA ANUGERAH,Not Found,,,,
SEIKOU SEAT COVER,14111,INDUSTRI PENGOLAHAN,INDUSTRI PAKAIAN JADI,INDUSTRI PAKAIAN JADI DAN PERLENGKAPANNYA,INDUSTRI PAKAIAN JADI (BUKAN PENJAHITAN DAN PEMBUATAN PAKAIAN)
SEJAHTERA BONEKA INDAH,32402,INDUSTRI PENGOLAHAN,INDUSTRI PENGOLAHAN LAINNYA,INDUSTRI ALAT PERMAINAN DAN MAINAN ANAK-ANAK,INDUSTRI ALAT PERMAINAN DAN MAINAN ANAK-ANAK
SEKURINDO DUTA UTAMA PERKASA,Not Found,,,,
SELALU BERMANFAAT SELAMANYA,10392,INDUSTRI PENGOLAHAN,INDUSTRI MAKANAN,INDUSTRI PENGOLAHAN DAN PENGAWETAN BUAH-BUAHAN DAN SAYURAN,INDUSTRI PENGOLAHAN DAN PENGAWETAN LAINNYA BUAH-BUAHAN DAN SAYURAN
SELAMAT LESTARI MANDIRI,Not Found,,,,
SELARAS HARAPAN SEMESTA,Not Found,,,,
SELATAN MAKMUR INDONESIA,18111,INDUSTRI PENGOLAHAN,INDUSTRI PENCETAKAN DAN REPRODUKSI MEDIA REKAMAN,INDUSTRI PENCETAKAN DAN KEGIATAN YBDI,INDUSTRI PENCETAKAN
SEMANGAT PUTRATAMA,Not Found,,,,
SEMAR GEMILANG,Not Found,,,,
SEMESTA MANDIRI SEJAHTERA,Not Found,,,,
SEMPURNAINDAH MULTINUSANTARA,,,,,
SEMPURNAJAYA MAKMURMULIA,Not Found,,,,
SENIUN HADAFA,Not Found,,,,
SENTRA AGUNG SEALINDO,Not Found,,,,
SENTRAL MANDIRI SENTOSA,Not Found,,,,
SENTRYPARK UTAMA INDONESIA,Not Found,,,,
SERASI AUTORAYA,,,,,
SERPONG ALAM LESTARI,Not Found,,,,
SETARA BIO SCIENCE,Not Found,,,,
SETIA ANUGERAH MOTOR,Not Found,,,,
SETIA BUDI HOJAYA,Not Found,,,,
SETIA KIJI REED,28263,INDUSTRI PENGOLAHAN,INDUSTRI MESIN DAN PERLENGKAPAN YTDL,INDUSTRI MESIN UNTUK KEPERLUAN KHUSUS,INDUSTRI MESIN TEKSTIL
SETIA LUMBAN JAYA,Not Found,,,,
SGH MAKMUR SANTOSA,Not Found,,,,
SHIMADA KARYA INDONESIA,22192,INDUSTRI PENGOLAHAN,INDUSTRI KARET,INDUSTRI KARET DAN BARANG DARI KARET,INDUSTRI BARANG DARI KARET LAINNYA
SIDO AGUNG MANDIRI,27310,INDUSTRI PENGOLAHAN,INDUSTRI PERALATAN LISTRIK,INDUSTRI KABEL DAN PERLENGKAPANNYA,INDUSTRI KABEL SERAT OPTIK
SIERRA JAYA ABADI,Not Found,,,,
SINAR ARTHA MAHAMAKMUR,Not Found,,,,
SINAR BARU KONTRUKSI,,,,,
SINAR INSPIRASI NEGERI,Not Found,,,,
SINAR JAYA RIMBAWAN ASRI,Not Found,,,,
SINAR KARYA UTAMA,Not Found,,,,
SINAR MITRA ANDALAN,Not Found,,,,
SINAR MULIA PLASINDO LESTARI,,,,,
SINAR NIAGA SEJAHTERA,Not Found,,,,
SINAR PANGJAYA MULIA,,,,,
SINAR PARA TARUNA,13911,INDUSTRI PENGOLAHAN,INDUSTRI TEKSTIL,INDUSTRI TEKSTIL LAINNYA,INDUSTRI KAIN RAJUTAN DAN SULAMAN
SINAR PUTRA METALINDO,Not Found,,,,
SINAR REJEKI LEMBANG,Not Found,,,,
SINAR SEJATI ABADI,Not Found,,,,
SINAR TRIYASA TEKNIK,Not Found,,,,
SINARDANIT NUSANTARA,Not Found,,,,
SINERGI ENGINEERING INDONESIA,Not Found,,,,
SINERGI MITRA UTAMA,,,,,
SINGAMAS PRATAMA SEJAHTERA,Not Found,,,,
SIR AKURASI INDONESIA,Not Found,,,,
SISTAR INDONESIA,Not Found,,,,
SJI NUSANTARA,Not Found,,,,
SKI SUKSES SEJAHTERA,Not Found,,,,
SKY ENERGY INDONESIA TBK,Not Found,,,,
SMART MULTI FINANCE,Not Found,,,,
SOFIA SAFIYA MEDIK,Not Found,,,,
SOLO MURNI,18111,INDUSTRI PENGOLAHAN,INDUSTRI PENCETAKAN DAN REPRODUKSI MEDIA REKAMAN,INDUSTRI PENCETAKAN DAN KEGIATAN YBDI,INDUSTRI PENCETAKAN
SOLUSI PRIMA CARAKA,Not Found,,,,
SOLUSI SARANA PROPERTI,Not Found,,,,
SOREANG PRAKARSA LESTARI,Not Found,,,,
SOWIN GRAMERINDO INTERNASIONAL,Not Found,,,,
SRI INTAN TOKI INDUSTRI,23932,INDUSTRI PENGOLAHAN,INDUSTRI BARANG GALIAN BUKAN LOGAM,INDUSTRI BARANG GALIAN BUKAN LOGAM LAINNYA,INDUSTRI BARANG TANAH LIAT/KERAMIK DAN PORSELEN BUKAN BAHAN BANGUNAN
SRIBANGUN BUMINITIYA,,,,,
STIF INDONESIA,,,,,
SUBANG MULYA SEJAHTERA,Not Found,,,,
SUGISENA INTI PERSADA,Not Found,,,,
SUKABUMI ALAM MANDIRI,Not Found,,,,
SUKADAMAI BERKAH ABADI,Not Found,,,,
SUKU CADANG JAYA,Not Found,,,,
SULFINDO ADIUSAHA,20117,INDUSTRI PENGOLAHAN,INDUSTRI BAHAN KIMIA DAN BARANG DARI BAHAN KIMIA,INDUSTRI BAHAN KIMIA,INDUSTRI KIMIA DASAR
SUMBER ADILUHUNG KAHURIPAN,Not Found,,,,
SUMBER ALFARIA TRIJAYA,Not Found,,,,
SUMBER ALFARIA TRIJAYA TBK,Not Found,,,,
SUMBER ALFARIA TRIJAYA TBK,Not Found,,,,
SUMBER ALFARIA TRIJAYA,Not Found,,,,
SUMBER ALFARIA TRIJAYATbk,Not Found,,,,
SUMBER DAYA MITRAINTI,Not Found,,,,
SUMBER MITRAUTAMA PERSADA,22220,INDUSTRI PENGOLAHAN,INDUSTRI KARET,INDUSTRI BARANG DARI PLASTIK,INDUSTRI BARANG DARI PLASTIK UNTUK PENGEMASAN
SUMBER REJEKIJABAR,Not Found,,,,
SUMBER RUKUN PERKASA,Not Found,,,,
SUMBER SARANA ERA ABADI,24101,INDUSTRI PENGOLAHAN,INDUSTRI LOGAM DASAR,INDUSTRI LOGAM DASAR BESI DAN BAJA,INDUSTRI LOGAM DASAR BESI DAN BAJA
SUMBER SARI BUMI PAKUAN,Not Found,,,,
SUMBER SARI PAKUAN,Not Found,,,,
SUMBER SINAR PERKASA,Not Found,,,,
SUMBER TRIJAYA LESTARI,Not Found,,,,
SUN AUTO ACCESORIES,13921,INDUSTRI PENGOLAHAN,INDUSTRI TEKSTIL,INDUSTRI TEKSTIL LAINNYA,INDUSTRI PEMBUATAN BARANG TEKSTIL
SUN MOTOR JAKARTA,45201,PERDAGANGAN BESAR DAN ECERAN; REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR,PERDAGANGAN,REPARASI DAN PERAWATAN MOBIL,REPARASI DAN PERAWATAN MOBIL
SURYA ANUGERAH SENTOSA,Not Found,,,,
SURYA ARTHA CHANYA,Not Found,,,,
SURYA GEMILANG TRIDAYA,Not Found,,,,
SURYA INTAN SENTANA JAYA,Not Found,,,,
SURYANUSA NADICIA,Not Found,,,,
SWARNA BAKTI SOLUSINDO,Not Found,,,,
SYAWAJA INDONESIA,Not Found,,,,
SYGMA DAYA INSANI,Not Found,,,,
SYNERGY SCIENTIFIC,Not Found,,,,
TRAD INDONESIA,Not Found,,,,
TAIFU GOLD INDONESIA,Not Found,,,,
TAKINDO MUTUAL,Not Found,,,,
TAMBUN DISTRIBUSINDO RAYA,Not Found,,,,
TAN PUTRA TAMA,10732,INDUSTRI PENGOLAHAN,INDUSTRI MAKANAN,INDUSTRI MAKANAN LAINNYA,INDUSTRI KAKAO
TANGGUH FLUIDA POWERINDO,Not Found,,,,
TANI MURNI INDONESIA,Not Found,,,,
TATA BANGUN SARANA,Not Found,,,,
TATA BUMI PERSADA,Not Found,,,,
TATALOGAM LESTARI,25112,INDUSTRI PENGOLAHAN,INDUSTRI BARANG LOGAM,INDUSTRI BARANG LOGAM SIAP PASANG UNTUK BANGUNAN,INDUSTRI BARANG LOGAM SIAP PASANG UNTUK BANGUNAN
TAWAKAL SUMBER CAHAYA,Not Found,,,,
TECH LOGISTIK INDONESIA,Not Found,,,,
TECNO MESIN INDONESIA,Not Found,,,,
TEHNIK PRATAMA ENGINEERING,Not Found,,,,
TEKADE MITRA INDONESIA,Not Found,,,,
TEKNIK BINA MANDIRI,Not Found,,,,
TEMAN SEJATI SEJAHTERA ABADI,Not Found,,,,
TENGO INDONESIA,31002,INDUSTRI PENGOLAHAN,INDUSTRI FURNITUR,INDUSTRI FURNITUR,INDUSTRI FURNITUR
TERA EMCAL SOLUSINDO,Not Found,,,,
TERUS JAYA SENTOSA MOTOR,Not Found,,,,
TEXALOKA TEMA MANDIRI,Not Found,,,,
THURSINA MEDIANA UTAMA,18111,INDUSTRI PENGOLAHAN,INDUSTRI PENCETAKAN DAN REPRODUKSI MEDIA REKAMAN,INDUSTRI PENCETAKAN DAN KEGIATAN YBDI,INDUSTRI PENCETAKAN
TIARA FAJAR TRANSPORTINDO,Not Found,,,,
TIGA FASA KOMPONEN,Not Found,,,,
TIGA RODA RENTALINDO,Not Found,,,,
TIGA WARNA JAYA INDONESIA,Not Found,,,,
TIGAMAS MITRA SELARAS,Not Found,,,,
TIGATUJUH CORGAS ESENSIAL,Not Found,,,,
TIKKA INDAH SEJAHTERA,Not Found,,,,
TIMUR LAUTAN SUKSES,23990,INDUSTRI PENGOLAHAN,INDUSTRI BARANG GALIAN BUKAN LOGAM,INDUSTRI BARANG GALIAN BUKAN LOGAM LAINNYA,INDUSTRI BARANG GALIAN BUKAN LOGAM LAINNYA YTDL
TIRTA TALAGA JAYA,Not Found,,,,
TIRTHA DASA LINTAS NUSA,Not Found,,,,
TITAN TEKNIKATAMA INDONESIA,28221,INDUSTRI PENGOLAHAN,INDUSTRI MESIN DAN PERLENGKAPAN YTDL,INDUSTRI MESIN UNTUK KEPERLUAN KHUSUS,INDUSTRI MESIN DAN PERKAKAS MESIN UNTUK PENGERJAAN LOGAM
TONGCHENG MAGNET WIRE,27320,INDUSTRI PENGOLAHAN,INDUSTRI PERALATAN LISTRIK,INDUSTRI KABEL DAN PERLENGKAPANNYA,INDUSTRI KABEL LISTRIK DAN ELEKTRONIK LAINNYA
TOP ADI PERKASA,Not Found,,,,
TRAINERS MANAGEMENT INDONESIA,Not Found,,,,
TRANS HYBRID COMMUNICATION,Not Found,,,,
TRENGGINAS UNGGUL ABADI,Not Found,,,,
TRI BUMI PERTIWI,Not Found,,,,
TRI EKA KREASI MODA,Not Found,,,,
TRI KARYA SELARAS MANDIRI,Not Found,,,,
TRIAJI MANDIRI TEKNIKA,Not Found,,,,
TRIANA HARVESTINDO NUSANTARA,13132,INDUSTRI PENGOLAHAN,INDUSTRI TEKSTIL,INDUSTRI PEMINTALAN,INDUSTRI PENYEMPURNAAN TEKSTIL
TRIANA NUR PANJALU,Not Found,,,,
TRIDAYA MANDIRI TEHNIK,Not Found,,,,
TRIDAYA RESIK PERKASA,Not Found,,,,
TRIDAYA SINERGI INDONESIA,Not Found,,,,
TRIDHARMA POLAKARSA,20231,INDUSTRI PENGOLAHAN,INDUSTRI BAHAN KIMIA DAN BARANG DARI BAHAN KIMIA,INDUSTRI BARANG KIMIA LAINNYA,INDUSTRI SABUN DAN DETERJEN
TRIKEM TIRTA BENING PERKASA,,,,,
TRIMANDIRI PLASINDO,22299,INDUSTRI PENGOLAHAN,INDUSTRI KARET,INDUSTRI BARANG DARI PLASTIK,INDUSTRI BARANG DARI PLASTIK LAINNYA
TRIO MOTOR,45201,PERDAGANGAN BESAR DAN ECERAN; REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR,PERDAGANGAN,REPARASI DAN PERAWATAN MOBIL,REPARASI DAN PERAWATAN MOBIL
TRIPOLA PANATA,Not Found,,,,
TRISAKA SINERGI UTAMA,Not Found,,,,
TRITUNGGAL POWERINDO UTAMA,Not Found,,,,
TRIVETSA LANCAR ABADI,Not Found,,,,
TUGU MUDA PRIMA,Not Found,,,,
TUJUH COSME INDONESIA,Not Found,,,,
TULIP PROMO KARYA,Not Found,,,,
TUNAS BARU SURYA PERKASA,Not Found,,,,
TUNAS DWIPA MATRA,45407,PERDAGANGAN BESAR DAN ECERAN; REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR,PERDAGANGAN,PERDAGANGAN,PERDAGANGAN
TUNAS JAYA RAYA ABADI,Not Found,,,,
TUTU KEKAL,Not Found,,,,
TYOTECH MANDIRI JAYA,Not Found,,,,
UBER SINAR DEWATA,,,,,
UNIE SARANA MANDIRI,Not Found,,,,
UNITED CHEMICALS INTER ANEKA,Not Found,,,,
UNITED REFRIGERATION,Not Found,,,,
UPAYABUMI GRAHASEJAHTERA,Not Found,,,,
USAHA TANGGUH MANDIRI,Not Found,,,,
USRA TAMPI INDONESIA,22293,INDUSTRI PENGOLAHAN,INDUSTRI KARET,INDUSTRI BARANG DARI PLASTIK,INDUSTRI BARANG DARI PLASTIK LAINNYA
V TWO CONSULTING,Not Found,,,,
VANADYA ANUGERAH PRATAMA,Not Found,,,,
VARION SUKSES MAKMUR,Not Found,,,,
VIRCHO JAYA ABADI,Not Found,,,,
VIRGI MOTOR CIKARANG,Not Found,,,,
WAHANA LOGISTIK SEMESTA,Not Found,,,,
WAHANA MAKMUR SAKTI,Not Found,,,,
WAHANA MAKMUR SEJATI,Not Found,,,,
WAHANA REKSA CEMERLANG,Not Found,,,,
WALDEN GLOBAL SERVICE,Not Found,,,,
WANANTARA ALESHA SADHANA,Not Found,,,,
WASKHITA ADI SEJAHTERA,28199,INDUSTRI PENGOLAHAN,INDUSTRI MESIN DAN PERLENGKAPAN YTDL,INDUSTRI MESIN UNTUK KEPERLUAN UMUM,INDUSTRI MESIN UNTUK KEPERLUAN UMUM LAINNYA
WASKITA MULTITRADA JAYA,Not Found,,,,
WASTU KENCANA,10431,INDUSTRI PENGOLAHAN,INDUSTRI MAKANAN,INDUSTRI MINYAK DAN LEMAK NABATI DAN HEWANI,INDUSTRI MINYAK MENTAH/MURNI KELAPA SAWIT (CRUDE PALM OIL) DAN MINYAK GORENG KELAPA SAWIT
WIDAL KREASI WISESA,Not Found,,,,
WIENNEXINDO SOLUTION,Not Found,,,,
WILDANES KERTAJAYA INDONESIA,Not Found,,,,
WIN DISTRIBUSI NUSANTARA,Not Found,,,,
